Spider-Man: Into the Spider-Verse;8.403;Action;2018;Unknown;images\324857.jpg
Spider-Man: No Way Home;8.002;Action;2021;Unknown;images\634649.jpg
Transformers: Age of Extinction;5.9;Science Fiction;2014;Unknown;images\91314.jpg
Eight Legged Freaks;5.736;Action;2002;Unknown;images\8869.jpg
Transformers: The Last Knight;6.06;Action;2017;Unknown;images\335988.jpg
The Little Mermaid;7.354;Animation;1989;Unknown;images\10144.jpg
Avatar;7.571;Action;2009;Unknown;images\19995.jpg
Transformers: Beginnings;6.929;Animation;2006;Harold Hayes Jr.;images\25565.jpg
Guardians of the Galaxy Vol. 2;7.623;Science Fiction;2017;Unknown;images\283995.jpg
Dangerous Snow Day;4.0;Thriller;2021;Unknown;images\914827.jpg
Encanto;7.638;Animation;2021;Unknown;images\568124.jpg
Superfast!;5.0;Comedy;2015;Unknown;images\325358.jpg
Fast & Furious Presents: Hobbs & Shaw;6.866;Action;2019;Unknown;images\384018.jpg
Stand by Me Doraemon;7.334;Animation;2014;Unknown;images\265712.jpg
Me Before You;7.915;Drama;2016;Unknown;images\296096.jpg
Spider-Man;7.27;Fantasy;2002;Unknown;images\557.jpg
Avengers: Infinity War;8.26;Adventure;2018;Unknown;images\299536.jpg
F9;7.172;Action;2021;Unknown;images\385128.jpg
Spider-Man: Homecoming;7.347;Action;2017;Unknown;images\315635.jpg
The Great Wall;6.007;Action;2016;Unknown;images\311324.jpg
John Wick: Chapter 3 - Parabellum;7.447;Action;2019;Unknown;images\458156.jpg
Furious 7;7.238;Action;2015;James Wan;images\168259.jpg
The Amazing Spider-Man 2;6.49;Action;2014;Unknown;images\102382.jpg
John Wick: Chapter 2;7.319;Action;2017;Unknown;images\324552.jpg
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train;8.257;Animation;2020;Unknown;images\635302.jpg
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;7.121;Adventure;2005;Unknown;images\411.jpg
